SourceAsset,Category,DialogueID,LineIndex,Speaker,Text,ChoiceText,NextDialogueID,Event,Notes
Playerawakening.asset,Story / NPC,Chapter0_awakening,0,???,What... where am I?,,,,
Playerawakening.asset,Story / NPC,Chapter0_awakening,1,???,A graveyard? Why am I here? Why does everything feel so... strange?,,,,
Playerawakening.asset,Story / NPC,Chapter0_awakening,2,???,Wait... this tombstone... Let me read it closer.,,,,
,,,,,,,,,
BlockedBeforeGateClue.asset,Gate Puzzle,Chapter0_blockedBeforeGateClue,0,Akila,There is a worn stone around the gate. I should go look at it to help me open this.,,,,
GatePasscodeClue.asset,Gate Puzzle,Chapter0_gateCluePrimary,0,,This stone besides the gate is worn smooth by time.,,,,
GatePasscodeClue.asset,Gate Puzzle,Chapter0_gateCluePrimary,1,,Three faint markings are carved into its surface.,,,,
GatePasscodeClue.asset,Gate Puzzle,Chapter0_gateCluePrimary,2,,Someone scratched a message below them:,,,,
GatePasscodeClue.asset,Gate Puzzle,Chapter0_gateCluePrimary,3,,“Three memories linger in this graveyard. Return what was lost… and the path will open.”,,,,
GatePasscodeClue.asset,Gate Puzzle,Chapter0_gateCluePrimary,4,Akila,Looks like I should talk to these three memories before leaving this graveyard.,,,,
gatePasscodeClueRepeat.asset,Gate Puzzle,Chapter0_gateClueRepeat,0,Akila,The carving is still visible.,,,,
gatePasscodeClueRepeat.asset,Gate Puzzle,Chapter0_gateClueRepeat,1,Akila,"“Three memories… Return what was lost, and the path will open.”",,,,
,,,,,,,,,
TombstonePrimaryDialogue.asset,Graves,Chapter0_tombstonePrimary,0,???,Akila... that's... that's my name. But why is it on a—,,,,
TombstonePrimaryDialogue.asset,Graves,Chapter0_tombstonePrimary,1,Akila,"No. No, no, no. This can't be right.",,,,
TombstonePrimaryDialogue.asset,Graves,Chapter0_tombstonePrimary,2,Akila,I'm... I'm dead? How? When? I don't remember anything...,,,,
TombstonePrimaryDialogue.asset,Graves,Chapter0_tombstonePrimary,3,Akila,My hands... I can see through them. I really am... a ghost.,,,,
TombstonePrimaryDialogue.asset,Graves,Chapter0_tombstonePrimary,4,Akila,What happened to me? How did I die?,,,,
TombstonePrimaryDialogue.asset,Graves,Chapter0_tombstonePrimary,5,Akila,There's something... unfinished. I can feel it. Something keeping me here.,,,,
TombstonePrimaryDialogue.asset,Graves,Chapter0_tombstonePrimary,6,Akila,I need to find out more. I need to leave this graveyard.,,,,
tombstoneRepeatDialogue.asset,Graves,Chapter0_tombstoneRepeat,0,Akila,Akila... that's my name. I need to get out of this graveyard.,,,,
,,,,,,,,,
Ghost1Need.asset,Ghosts,Ghost1Need,0,Gentle Ghost,...You can see me?,,,,
Ghost1Need.asset,Ghosts,Ghost1Need,1,Gentle Ghost,It has been so long since anyone stopped here.,,,,
Ghost1Need.asset,Ghosts,Ghost1Need,2,Gentle Ghost,Every year... when the weather grew warm... I used to bring something here.,,,,
Ghost1Need.asset,Ghosts,Ghost1Need,3,Gentle Ghost,It was soft… delicate… and carried a floral scent.,,,,
Ghost1Need.asset,Ghosts,Ghost1Need,4,Gentle Ghost,If you happen to find something like that nearby… could you bring it to me?,,,,
